ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AU000000DOW2,DOWNER EDI,,,,,,21.03,21.57,23.0,26.02,22.25,41.26,59.73,55.85,57.65,56.41,58.58,64.42,64.81,65.24,65.63,67.48,68.48,70.8,71.54
AU000000DXS1,DEXUS STAPLED UNITS,,,,,,,32.36,52.68,47.05,76.88,81.85,81.59,78.74,79.59,79.69,79.16,83.79,87.43,87.5,89.68,90.15,91.0,91.48,92.35
AU000000ELD6,ELDERS,,,,,,18.7,12.97,10.28,18.18,18.96,23.93,30.06,34.19,32.03,29.08,22.53,24.76,30.75,27.01,26.46,34.11,40.41,47.41,44.38
AU000000GMG2,GOODMAN GROUP,,,,,,,9.93,11.1,17.38,23.76,40.44,39.04,46.47,59.81,49.98,37.5,47.62,59.18,46.99,53.15,52.09,61.91,59.25,59.83
AU000000GPT8,GPT GROUP STAPLED UNITS,,,,,,28.74,36.32,43.98,52.65,77.69,80.1,80.08,77.71,81.62,77.25,79.87,77.77,77.08,77.0,75.2,78.02,80.73,81.35,80.73
AU000000HVN7,HARVEY NORMAN HOLDINGS,,,,,,24.79,28.06,27.57,23.14,16.66,25.49,22.19,15.68,21.34,26.37,33.31,33.43,34.42,31.01,36.28,35.31,32.72,34.49,27.48
AU000000IAG3,INSURANCE AUS.GROUP,,,,,,50.39,37.51,42.39,73.36,79.47,83.45,88.96,83.34,77.2,80.31,78.09,80.88,81.04,80.15,78.7,79.57,77.78,78.22,78.46
AU000000ILU1,ILUKA RESOURCES,,,,,,42.53,35.3,38.06,35.59,37.15,34.98,38.64,41.9,43.39,44.19,51.18,54.17,59.93,70.74,74.46,71.74,68.99,73.83,72.1
AU000000IPL1,INCITEC PIVOT,,,,,,,,,37.11,25.24,39.42,43.2,45.48,45.22,45.44,45.8,50.11,52.76,48.05,53.46,66.93,68.27,66.08,67.67
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,,,,,,,35.78,34.58,16.5,23.29,33.93,34.8,28.19,29.84,29.32,23.06,26.14,41.49,39.68,37.47,34.46,38.66,38.13,45.47
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,,,,,,19.78,32.99,38.69,40.56,66.56,67.82,72.27,70.69,60.32,56.24,59.01,60.57,60.76,77.56,72.4,73.69,68.81,59.25,57.96
AU000000MGR9,MIRVAC GROUP STAPLED UNITS,,,,,,31.23,45.58,26.59,63.71,73.86,74.98,85.42,81.37,82.61,84.83,83.44,86.4,89.24,90.15,89.01,89.25,90.45,83.49,78.7
AU000000MQG1,MACQUARIE GROUP,,,,,,,25.78,20.62,16.47,48.43,57.45,65.51,74.72,68.82,66.53,75.81,79.79,79.71,80.27,80.54,80.82,86.37,88.22,88.37
AU000000MTS0,METCASH,,,,,,,,,24.95,29.77,45.01,45.96,44.41,36.56,33.91,38.57,46.94,47.93,45.17,47.54,48.25,49.52,51.78,45.76
AU000000NAB4,NATIONAL AUS.BANK,,,,45.44,40.84,56.58,82.43,78.32,76.24,82.08,81.22,90.09,87.02,79.72,80.51,84.42,86.9,90.03,87.99,86.33,81.4,82.99,87.32,84.95
AU000000NCM7,NEWCREST MINING DEAD - DELIST.08/11/23,,,,,,55.18,45.81,63.57,52.91,61.32,67.49,63.01,77.06,76.22,77.76,59.31,53.9,61.16,61.58,65.04,62.76,66.47,67.19,65.9
AU000000ORG5,ORIGIN ENERGY (EX BORAL),,,,,,30.33,31.88,34.61,56.73,54.15,51.76,64.15,59.06,59.05,59.39,58.61,61.12,63.32,63.32,58.45,61.21,62.41,66.11,63.06
AU000000ORI1,ORICA,,,,24.29,36.25,50.44,56.09,56.14,44.41,52.88,51.96,59.62,54.71,60.63,62.57,62.95,56.18,52.86,57.42,59.88,56.26,54.63,54.23,59.72
AU000000PPT9,PERPETUAL,,,,,,37.77,41.67,36.45,40.42,37.58,36.92,57.79,47.7,51.48,55.3,57.2,57.12,64.37,61.6,67.47,66.66,65.12,73.54,77.42
AU000000QAN2,QANTAS AIRWAYS,,,,,,16.26,36.36,35.55,49.56,62.3,64.17,66.85,67.24,68.88,67.89,68.45,61.25,72.23,72.82,77.16,73.45,75.67,71.7,72.29
