ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AN8068571086,Schlumberger Limited,,,,,,,4168040.858786669,5029794.831911868,5661457.61997122,6060766.298662912,5618460.307955805,7019943.271576706,10062692.287504595,10143307.487325568,10730023.325058399,11481694.291187089,8403323.84828742,6904570.296,8648838.077438869,8716874.153950477,8117563.118,6739141.803,6841670.294
ARALUA010258,Aluar Aluminio Argentino S.A.I.C.,,,,,,,409075.1849907279,404360.05118156347,514020.9710702355,540631.5179558309,501215.5474660643,554323.3849270995,633155.7249725084,728328.1736789106,587212.4848145957,589289.1076611284,591037.6356477756,538651.9127893511,576216.012190254,685526.369,672641.928,550818.824,548239.62
ARP125991090,Banco BBVA Argentina S.A.,,,,,,,16958.705696290323,22855.641929476056,26205.384382024582,20956.63209778562,25816.242889948568,28863.597082838052,26528.14153183174,42797.09058248651,35292.298749611706,33907.52479500376,23868.907818812855,34881.991611383404,43297.47196381945,35713.196340333256,47830.056143567905,31495.292,74982.043
ARSIDE010029,Ternium Argentina S.A.,,,,,,,1254024.2365131334,1276810.738676021,1406710.654809069,1433042.5480704159,1126163.1997315565,1522964.8432809692,1965094.028825604,1557464.632694717,1648819.86732401,903928.5125964264,861620.0769141809,1212690.4212373393,1548909.3749501077,1662738.107,1275691.988,1090691.046,2116629.333
AT00000VIE62,Flughafen Wien Aktiengesellschaft,,,,,,,37666.788726426865,43624.78907302894,51799.67402314731,53288.325638533985,56363.57984536966,52978.88341359473,63175.55035939612,53934.33095551926,56255.062253058335,55974.41889035748,48429.20946622997,62009.01668005166,71950.65018419831,70944.70599073367,65635.9632403175,26432.099,36382.334
AT0000652011,Erste Group Bank AG,,,,,,,164017.68448599757,258799.30302631855,232394.41187923052,238060.0771990597,302681.312761348,277996.61493289075,263468.29997072753,225267.1661522456,228310.68537993584,222802.48681391618,186933.68109194556,198219.976,208323.053,213555.27,197567.491,157039.426,219505.279
AT0000743059,OMV Aktiengesellschaft,,,,,,,10604050.15922511,11442867.503062855,13004827.28570986,10232600.743969683,9687638.74867692,10172396.845074913,14761274.548790377,17916312.390428316,18171784.131058794,14486125.51714667,7937608.051360642,9702516.766689232,11545140.675519636,11024693.551,9430002.144,7291399.923,20183968.797
AT0000746409,VERBUND AG,,,,,,,397833.43967173196,643900.2896044765,766311.3812176412,400963.2161245262,451480.2836203326,566809.2444441454,511252.2621796774,368430.8991626783,338064.59190916794,254066.20112646173,203304.0107894796,213357.36060755793,246299.08746506448,208509.82908352633,250501.218,196340.641,319495.618
AT0000831706,Wienerberger AG,,,,,,,363933.0133306773,418019.46321146423,484630.00808726455,377226.5198379786,319651.344628449,270988.39302520925,313905.83195991564,293547.07924639597,328526.3525958614,348354.7276980343,534703.2418813753,566307.129,648658.517,658357.179,746013.826,772110.336,1028280.546
AT0000908504,Vienna Insurance Group AG,,,,,,,183769.00035469347,227422.01482671994,290804.15504561836,333576.8415313626,330047.72133344004,334598.5246049014,348052.5168588352,347537.8348019822,337523.3467547932,333886.75266343635,268758.5947690569,279440.877,315807.825,326546.78278453526,304953.05944347056,282183.719,317190.872
AT0000937503,VOESTALPINE AG,,,,,,,9215234.324927907,8537425.844820201,9220332.607805014,14711808.992090568,16540489.241453785,10863493.35701715,14148241.695710775,14660612.458140824,14318935.314206237,11985330.930742178,11561438.98623897,11009866.2521113,11755780.775,13349796.425049694,12865889.687553028,8257589.629,7807070.693
AT0000938204,Mayr-Melnhof Karton AG,,,,,,,656174.6280453673,706109.9358603318,845259.6065764322,739439.8690760275,758920.0956830673,738351.8323840727,823277.9609636066,738696.5672363304,769246.4213454619,801503.9112677642,692959.9406829879,784242.0191864643,858104.949877544,863216.7066242925,840113.271,869570.725,1102544.416
AT0000A21KS2,Immofinanz AG,,,,,,,11900.544524516792,20172.018195057295,31608.85302097845,31416.00637278128,33564.20026608984,32727.701092483265,30610.623414097296,31939.67786432364,32046.88026623778,26394.37969217255,20046.188246013815,15009.742268850667,12314.099235057547,12884.112,12484.714,13041.071,19099.833
AU000000ABC7,ADBRI Limited,,,,,,,455026.21009335096,508255.3540180664,594110.2585452606,497973.56355711236,696915.4465584467,784083.8827277778,833796.24422274,945050.6577624732,873970.3600616403,991121.378398242,1011709.3431136627,971439.9359461262,1138156.7386449024,1158606.5300423603,953172.4258058117,896847.244,1029931.7
AU000000ALL7,Aristocrat Leisure Limited,,,,,,,137721.3243317948,114770.9813998791,126765.96597806693,89495.15281605991,101325.93127639475,75724.85030755958,84715.70930757324,67010.64939813409,88511.88021520276,90434.96818523362,132520.5751729615,171482.26550161582,209257.72161508127,133131.353,141051.11,113040.005,154215.49
AU000000AMP6,AMP Limited,,,,,,,617721.1701801484,729571.8676116383,413887.34654361045,392509.5684663396,365266.43756232987,311422.16808274103,462913.7682116796,675221.4168096627,589304.117063923,500846.0551560328,320104.7920961104,350489.876,428345.4534954021,196373.374,448907.792,64269.477,44133.874
AU000000ANN9,Ansell Limited,,,,,,,159033.71552130807,147324.4927550293,171263.7122788503,176356.48359439982,171171.23269927577,160765.60170382424,179029.23175550334,172546.59736548655,186005.5384262691,216775.9391208355,225411.65243089182,233359.2292274195,213450.41289620288,219135.86213996733,204456.393,223979.575,293021.199
AU000000ANZ3,ANZ Group Holdings Limited,,,,,,,203778.01402962438,203953.8521822818,260383.9960835272,250089.03844699322,302820.9885193993,344170.8550658239,429949.7305889012,438093.21224098594,452826.872209774,527684.8009527957,503798.3969037087,443964.498,480783.324,384852.923,282516.127,225048.549,314824.048
AU000000ASX7,ASX Limited,,,,,,,7397.023160187042,7369.0084442558955,14817.491238687573,17074.66417715967,20946.390947278684,19481.880342937657,22770.75803699899,22574.976612598737,22120.954834406024,21251.34383526153,20420.23705452539,19581.415,22149.709732798692,23947.07324269868,22267.958341731653,20818.383,22370.232
AU000000BEN6,Bendigo and Adelaide Bank Limited,,,,,,,9495.168497618155,9908.158157086133,11797.162823033304,11564.275350168647,17489.26042233033,24661.256626460963,28071.225663767895,28179.42576469239,30439.22303429295,29710.141054647993,28687.70716839843,28827.841759342715,32692.531129631956,33016.79328627308,23632.868,21388.72,28653.664
AU000000BHP4,BHP Group Limited,,,,,,,9924547.95095605,9903748.521641124,10128909.080753379,13145024.138217654,13340405.202569488,12869312.358907059,18320189.22478045,17066528.34728457,16884784.74290542,17444978.098571587,9540250.086462844,7431152.32365226,9787449.047547162,10411579.278036335,10049046.725,10266143.913,16455622.717
AU000000BOQ8,Bank of Queensland Limited,,,,,,,8165.87744530091,8116.477575071679,9787.548245213282,11488.945430578187,13197.277124675134,15302.668163413742,19592.12084472094,19796.477974192425,19876.444241887857,20425.302159237443,20719.448347919802,20515.197351572242,25258.26333356979,21608.556320741685,18128.596286393866,13906.802,22272.828
AU000000BPT9,Beach Energy Limited,,,,,,,6431.160880480591,11053.348393804705,46418.02929693955,53857.024995748114,52345.32966827494,45191.41138520049,50007.417807679056,62857.23444153106,69561.12550182265,95071.79397431512,59066.98870782855,45460.573109777295,56526.14968590309,104986.6086970278,147166.935,118367.919,128293.767
AU000000BWP3,BWP Trust,,,,,,,1484.8131427785793,1489.1483282533518,1616.838909087363,1772.5679137833595,1963.6477261246273,2492.3541952315645,2616.196742106271,3297.406981061471,3437.698015724086,3633.872275559107,3674.792199985869,3595.3588882923805,3963.1257727154425,3974.5284578899536,3486.5165744491696,3228.28,3616.876
AU000000CBA7,Commonwealth Bank of Australia,,,,,,,317304.6488948767,283076.9486055189,322095.7886855035,349935.7199078819,387256.095465402,529561.1966245867,512339.27575367596,532446.028,631178.0757099349,575688.7295423909,535535.4585135416,499343.438,589489.951,574945.66,372061.75,323165.892,416370.039
AU000000CGF5,Challenger Limited,,,,,,,25960.01978112195,62727.11131482016,79700.41724205791,89538.64091193346,61417.6244284343,41251.40865417384,40399.71167047805,45010.01928231751,47136.79803339094,54303.33345735249,49926.88054899799,49664.74886220427,72267.022,68628.535,66799.8,31877.964,69223.817
AU000000COH5,Cochlear Limited,,,,,,,50030.5470664997,58538.89920708213,77313.89068624648,82240.96113887106,90115.01214454272,90945.17449975849,118009.44517967719,110143.81513115212,104309.78292073002,102521.46815602314,105440.82332056972,121864.31663672722,146692.17395741347,164772.25257921213,148729.86640250162,130969.318,172609.881
AU000000CPU5,Computershare Limited,,,,,,,30751.788593680212,42301.22541919789,55967.471553964104,49553.812388284634,40487.73496518311,52591.57305707783,50633.06936604706,55884.042077037935,61074.366390170064,63390.499516180906,59623.310270215356,62367.91562731091,69980.77949221164,73284.22577723743,69794.7659545735,71938.862,107811.418
AU000000CQR9,Charter Hall Retail REIT,,,,,,,,3002.771109818291,3679.543104971938,5241.66847774451,5609.210120390337,5331.892647604838,6062.215139382657,6080.651359852231,5362.463203436568,5162.125467130707,4974.431853934877,4963.834361932599,5472.165031709472,5755.8144169176485,4393.842017766028,5065.076,8462.085
AU000000CSL8,CSL Limited,,,,,,,247032.37622405755,228265.58756232954,275319.65587223455,309554.140543596,368271.5460738839,377268.1322395571,385718.7545005601,408278.109697643,441794.7802562803,468642.5146410052,476880.1061284642,572951.886,683684.189,665149.9664541174,669946.965,718208.754,796929.666
AU000000CSR5,CSR Limited,,,,,,,916945.7424035312,1050565.7743994037,1283146.2693820687,1215356.529556923,1040583.5324691739,1377216.2393282666,330692.7520127528,336115.0121474723,344713.63947330834,329413.64346590324,359084.21106898505,339228.513,377388.16599284555,388514.51554653276,302161.13,287351.933,295623.562
AU000000DOW2,Downer EDI Limited,,,,,,,813822.6101772201,868870.8144789727,1002648.71423877,889107.6920583447,777811.9344187465,817382.3827733886,1018383.5314647013,1223583.340055459,1261586.1331223878,962484.2015111906,786031.2136524173,757578.5766515696,703463.273846079,905395.362,759144.96,732447.732,717957.64
AU000000DXS1,Dexus,,,,,,,11936.325121827322,13596.255698303223,21344.80441401835,21098.85760858626,19045.377893860452,18815.324623135006,21288.387493044196,19893.640733429274,18607.852844303954,22085.691865325367,22134.129945116816,21093.320820763067,23691.713729998126,22158.239331583696,15187.833883483996,59454.735,77864.342
AU000000ELD6,Elders Limited,,,,,,,1368795.5903894797,1227937.3878423248,1074527.8275869521,1135473.0569311704,925355.5302006635,657445.9973417576,915090.0024366083,857149.0510120892,634259.9092884506,442135.3458708514,419477.1844628857,327469.3290171931,300123.58537346596,318286.55546378606,305029.9871378656,251405.139,320358.65
AU000000ERA9,Energy Resources of Australia Ltd,,,,,,,35035.84619342486,40112.92871451212,46212.24634024799,42640.54657226184,98209.65261543688,71275.5662070559,94465.04494985982,56844.33248804101,44865.90143269731,44181.20887576188,31725.1025455036,29520.243885128228,25955.438126865884,22075.929560525015,20590.877176256923,22048.357,19731.477
