ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
GB0031638363,INTERTEK GROUP,,,,35.18,34.46,33.92,29.79,32.06,46.61,46.49,39.03,48.54,37.59,51.02,47.81,52.11,62.96,53.49,77.0,76.1,85.87,87.31,85.72,84.16
GB0031743007,BURBERRY GROUP,,,,,,,44.15,31.05,29.15,52.91,53.52,68.61,59.56,55.64,60.62,60.79,49.66,48.33,56.38,57.78,56.67,56.99,59.62,68.94
GB0032089863,NEXT,,,,33.36,78.29,59.55,69.71,74.36,64.95,71.66,72.49,74.57,71.14,70.22,66.33,65.81,69.49,67.65,68.8,68.93,68.89,72.37,69.35,69.35
GB0033195214,KINGFISHER,,,,32.04,28.68,18.96,30.15,61.93,68.67,67.95,62.67,63.61,70.91,71.93,65.98,64.79,73.12,74.7,75.29,74.0,70.71,77.47,68.21,66.5
GB0033986497,ITV,,,,,,48.15,35.63,47.31,43.82,82.69,78.02,89.06,70.68,61.52,66.18,67.68,67.78,57.38,59.78,77.03,76.33,82.54,82.44,81.93
GB00B012BV22,MARSHALLS,,,,,,27.62,42.38,40.29,26.95,24.54,59.48,63.06,62.9,53.54,49.5,48.01,64.02,68.91,69.18,62.73,66.32,65.95,62.39,74.47
GB00B012TP20,HALFORDS GROUP,,,,,,16.79,35.84,40.05,55.78,50.04,51.79,59.58,49.05,38.89,42.92,60.92,58.51,66.84,67.76,69.6,63.3,60.08,49.65,53.91
GB00B019KW72,SAINSBURY J,,,,7.71,18.95,42.71,44.67,44.03,61.83,63.25,69.17,72.77,67.67,69.54,67.76,68.58,66.82,62.84,51.56,49.78,51.85,56.51,71.18,
GB00B02J6398,ADMIRAL GROUP,,,,,,27.85,27.6,20.02,25.82,42.54,42.29,43.69,40.88,31.08,39.44,23.13,44.15,42.64,50.8,48.05,47.76,46.01,49.91,33.25
GB00B02QND93,PAYPOINT,,,,,,,13.52,6.62,11.48,9.44,24.99,12.3,20.25,18.99,30.27,22.65,22.25,28.95,28.18,29.99,34.25,33.81,31.12,29.13
GB00B033F229,CENTRICA,,,,39.62,26.57,50.76,70.69,75.55,64.63,75.78,76.32,79.59,78.24,70.3,75.36,60.78,72.11,56.47,56.29,64.57,57.1,58.84,59.54,63.27
GB00B04V1276,GRAINGER,,,,,,63.13,57.02,66.57,58.46,65.25,64.48,65.51,62.92,63.24,65.1,60.66,67.72,64.76,65.04,70.7,70.57,63.72,68.12,65.1
GB00B06QFB75,IG GROUP HOLDINGS,,,,,,,20.6,13.82,13.05,14.24,38.14,32.65,42.88,39.0,42.96,42.94,36.95,33.69,53.41,53.01,52.93,53.93,57.77,61.56
GB00B0744359,ESSENTRA,,,,,,,80.47,66.09,69.27,54.1,70.39,71.04,83.73,74.94,81.4,69.79,65.66,71.23,59.14,64.47,69.27,67.55,60.78,51.81
GB00B0744B38,BUNZL,,,,,,,43.92,50.26,84.4,85.2,67.81,72.99,74.89,47.69,56.11,57.62,41.91,36.46,35.0,37.14,39.18,51.52,53.77,55.02
GB00B082RF11,RENTOKIL INITIAL,,,,59.31,84.78,68.59,59.74,60.28,53.49,44.99,40.86,54.8,83.23,83.24,75.08,67.05,73.67,70.6,82.44,76.82,76.23,74.63,86.74,86.4
GB00B0FYMT95,HELICAL REIT,,,,,,46.3,46.38,48.98,37.75,27.36,39.49,41.35,36.32,41.63,49.15,55.85,48.55,41.56,40.21,36.15,49.42,47.34,47.27,43.82
GB00B0H2K534,PETROFAC,,,,,,39.03,39.21,26.22,14.34,22.82,22.85,43.32,37.68,45.89,47.2,48.92,48.59,64.42,69.35,79.65,77.31,76.17,,61.08
GB00B0KM9T71,STHREE,,,,,,,20.43,13.41,15.57,24.68,12.73,15.85,17.84,17.83,21.78,22.51,59.27,63.89,64.69,53.14,47.86,43.8,36.13,34.46
GB00B0LCW083,HIKMA PHARMACEUTICALS,,,,,,,27.78,19.49,13.09,23.94,26.74,56.65,51.98,62.9,61.56,51.15,62.8,56.33,62.82,76.7,76.49,78.6,79.16,73.96
GB00B0N8QD54,BRITVIC,,,,,,,,19.22,21.48,42.02,45.54,57.62,57.4,70.63,52.78,51.96,70.56,45.42,74.06,67.38,76.33,74.69,77.92,77.4
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,,,,43.79,53.66,49.1,46.81,38.71,31.25,36.5,35.09,36.27,51.48,49.5,46.95,58.93,77.46,77.73,80.83,85.91,86.48,86.12,79.8,84.32
GB00B0WMWD03,QINETIQ GROUP,,,,,,,,20.35,15.26,38.87,25.29,22.65,18.59,32.87,30.46,24.45,39.38,44.12,45.88,46.04,41.33,56.45,54.64,56.16
GB00B0YG1K06,RESTAURANT GROUP DEAD - DELIST.22/12/23,,,,,,6.69,12.2,7.36,33.85,29.03,31.53,35.94,35.64,35.95,35.4,39.32,40.36,41.93,41.99,41.53,45.38,40.49,41.98,
GB00B10RZP78,UNILEVER (UK),,,,,,57.27,71.82,70.01,69.83,86.76,81.24,83.85,83.69,84.58,85.41,87.09,81.73,83.67,95.3,94.92,94.69,94.07,93.11,88.91
GB00B132NW22,ASHMORE GROUP,,,,,,,,,25.5,29.67,31.38,25.78,24.92,25.68,35.66,33.19,34.11,31.27,34.85,48.8,43.58,39.92,40.82,39.29
GB00B135BJ46,SAVILLS,,,,,,47.64,30.97,54.34,70.33,69.81,59.66,68.13,72.74,65.77,62.63,61.79,57.76,56.38,55.07,50.49,52.61,51.03,46.5,
GB00B18P5K83,TOPPS TILES,,,,,,27.26,29.88,24.1,30.76,41.35,54.39,47.81,41.89,35.71,41.14,32.7,34.68,37.13,37.31,37.13,48.68,46.17,38.61,38.87
GB00B19Z1432,PZ CUSSONS,,,,,,11.19,15.67,17.38,12.65,27.78,27.59,39.69,29.73,36.77,39.74,39.35,41.44,56.04,43.7,38.77,42.38,44.3,56.68,57.5
GB00B1FH8J72,SEVERN TRENT,,,,19.18,52.4,66.79,40.01,74.4,47.5,62.18,76.2,54.92,60.69,61.05,80.29,73.14,65.83,73.18,76.03,74.41,77.33,78.09,82.38,81.58
GB00B1FP6H53,MITCHELLS & BUTLERS,,,,,,,53.78,71.53,79.73,76.03,76.98,77.91,74.3,73.52,83.46,84.26,75.7,75.01,75.67,73.87,75.11,76.35,75.0,74.57
GB00B1FW5029,HOCHSCHILD MINING,,,,,,,,27.79,24.02,19.44,17.16,19.59,21.97,32.93,31.49,30.98,30.75,29.52,45.28,42.98,40.98,43.22,48.87,51.06
GB00B1JQBT10,PINEWOOD TECHNOLOGIES GROUP,,,,,,22.02,16.79,18.14,14.0,18.94,20.24,20.14,20.38,20.53,19.62,21.27,32.89,39.21,31.26,30.67,32.94,29.53,25.15,24.57
GB00B1JQDM80,MARSTON'S,,,,,,27.8,28.17,22.24,37.34,34.73,50.17,50.44,48.7,49.7,50.54,57.66,55.2,57.94,56.73,64.76,84.59,84.05,82.65,81.35
GB00B1KJJ408,WHITBREAD,,,,35.6,36.45,60.62,54.86,57.12,69.98,59.59,72.37,82.34,84.75,77.62,78.67,79.32,85.51,85.75,89.75,88.45,88.52,86.03,82.46,83.44
GB00B1L5QH97,RANK GROUP,,,,17.56,14.15,21.79,11.21,4.15,23.08,38.4,44.81,37.47,32.35,37.75,39.65,57.42,53.1,55.19,52.67,62.4,65.31,70.19,68.77,67.46
GB00B1P6ZR11,BROWN GROUP,,,,,,13.6,24.82,17.95,26.05,29.96,33.81,35.11,35.06,41.5,39.63,43.05,59.22,58.75,62.08,57.48,51.36,46.12,40.5,37.36
GB00B1VNSX38,DRAX GROUP,,,,,,,23.54,35.88,38.68,40.87,35.19,46.58,55.09,46.3,52.68,49.2,49.65,50.04,46.57,51.5,48.06,52.05,49.49,45.67
GB00B1WY2338,SMITHS GROUP,,,,45.27,24.97,34.76,22.84,31.08,28.14,53.43,53.35,54.77,45.65,42.12,44.37,41.04,44.45,58.96,76.43,60.12,58.21,68.79,62.49,63.54
GB00B1XH2C03,FERREXPO,,,,,,,,,19.41,17.36,19.74,63.81,46.52,56.42,61.96,65.2,72.07,79.77,82.76,79.82,81.76,82.1,86.1,82.51
GB00B1XZS820,ANGLO AMERICAN,,,,84.18,72.38,79.4,46.87,48.61,81.6,80.39,80.68,84.66,80.66,91.04,88.61,93.41,86.97,76.18,77.67,80.13,82.32,83.58,83.33,83.06
GB00B1YW4409,3I GROUP,,,,30.22,18.63,42.07,29.03,41.85,48.5,45.6,52.79,44.5,45.05,30.85,32.48,52.84,51.38,73.57,73.83,77.44,65.36,64.85,62.89,61.56
GB00B23K0M20,CAPITA,,,,35.26,34.12,38.32,30.73,32.67,38.58,47.29,42.4,62.45,64.21,50.66,68.84,69.65,80.59,79.67,73.86,77.37,83.88,78.54,69.76,
GB00B24CGK77,RECKITT BENCKISER GROUP,,,,,,,54.87,49.64,53.23,59.6,58.79,56.11,59.32,65.03,65.61,64.87,79.03,81.87,87.91,90.58,90.81,93.37,94.75,93.06
GB00B27YGJ97,SEVERFIELD,,,,,,23.88,30.59,19.3,20.58,18.78,16.66,21.84,16.71,13.51,18.5,17.42,19.58,22.69,23.69,22.07,19.33,26.24,25.44,24.47
GB00B2B0DG97,RELX,,,,,,,78.26,81.61,74.09,67.78,66.05,72.45,75.75,74.2,76.55,80.44,81.84,82.35,78.71,78.76,80.45,79.63,79.48,77.92
GB00B2NGPM57,PARAGON BANKING GROUP,,,,,,20.14,17.62,22.46,18.89,26.25,29.08,28.48,32.86,31.52,38.77,42.47,43.04,51.26,51.08,53.09,50.08,47.89,54.1,55.47
GB00B2PDGW16,WH SMITH,,,,,,20.57,36.04,38.36,46.69,51.62,72.04,72.45,73.17,72.07,70.28,74.04,73.26,73.58,76.58,73.07,71.21,89.05,84.93,96.67
GB00B39J2M42,UNITED UTILITIES GROUP,,,,61.69,46.31,59.21,69.94,71.84,54.67,64.2,62.2,62.73,62.73,62.17,60.4,66.48,62.36,66.87,86.49,80.72,76.45,71.84,68.42,63.49
GB00B3DGH821,DE LA RUE ORD,,,,44.8,42.51,41.19,34.27,34.12,43.57,56.44,48.95,54.31,55.12,64.64,65.17,66.64,73.88,81.63,66.21,68.08,65.05,67.32,63.94,69.11
