ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AN8068571086,Schlumberger Limited,,,,,,,217150.77874055167,272047.35686100833,1705148.0188633318,1921616.1380052841,394949.6772285642,330000.00000003906,341824.000000018,549999.9999999892,429999.99999995733,747000.0000000736,580000.000000032,700349.383,561000.0000000215,641999.9999999241,589456.769,407790.67,254207.0
ARALUA010258,Aluar Aluminio Argentino S.A.I.C.,,,,,,,262068.8661177596,231208.71913496713,307177.23352281656,351070.01695582597,312885.95666579023,345387.6971328403,402067.184155922,386761.0050144994,497169.89040557505,519839.0140160584,501201.9589847031,449726.40669137833,517479.93748036854,674607.011,660571.176,504556.325,479563.689
ARP125991090,Banco BBVA Argentina S.A.,,,,,,,704.5711749556409,963.1613535081464,1088.940234183636,925.023687309783,10137.970000033429,1212.251828423849,1105.7804375033522,1810.8414719408086,1493.296795321747,1636.8109002828583,1111.9517745473522,1563.2695398618714,1996.3957547882096,1686.0757926419155,2193.1292850504474,1402.09,9195.682
ARSIDE010029,Ternium Argentina S.A.,,,,,,,234719.9878002463,251368.3993642927,288034.2700386614,326587.4994686913,230590.13228699632,328099.78000994667,377201.53869516205,341448.58606456744,361476.723486731,234484.04645113542,205498.4114516819,267266.9961289499,352617.9028339921,395240.123,303721.063,247611.285,482749.072
AT00000VIE62,Flughafen Wien Aktiengesellschaft,,,,,,,16580.54474952046,19136.106650180085,22426.080714125328,20011.70164149133,17111.143843596295,16224.695254441285,19694.9929887333,17409.936681472806,18141.036671485766,21518.09420180786,16135.16699218677,15358.928710925127,14046.59472657764,9671.331054701885,9398.193359353274,6161.975,6256.78
AT0000652011,Erste Group Bank AG,,,,,,,6814.325028181949,10906.081210010805,9656.932392425617,19302.58321394901,65432.34431190151,62426.482214476106,45410.68097623551,87255.58264330913,80785.02211274808,66496.06683528448,70113.00000003427,54388.677,48648.379,34224.625,34899.42,32562.0,22884.0
AT0000743059,OMV Aktiengesellschaft,,,,,,,734045.168235038,933037.0731790635,1036406.2409284465,1301243.754542859,814899.999998052,958087.0549481459,1517472.7891462157,583000.0000000123,699999.9999999655,333577.00000001374,363767.5937500149,255019.99999998382,246127.99999998178,286079.0,246349.0,294367.0,1010149.0
AT0000746409,VERBUND AG,,,,,,,1487.0039889926948,1795.631092455897,1972.3690441560564,2253.5047618943972,2139.2352884117195,1830.2578491886702,845057.3558795571,1053372.7919033011,985510.6981821522,1016410.3394928401,1088781.999999987,908289.999999973,451625.0000000596,410999.99999996595,392001.767,406000.018,146090.0
AT0000831706,Wienerberger AG,,,,,,,227993.0089941003,271843.36390032014,313282.57453278993,271726.21542431164,256559.01000002975,332893.97999997245,367045.53476509853,328438.4859688586,340092.2544680722,406790.83786790125,387594.28124995716,401993.675,482622.386,517669.794,426727.877,407709.652,183942.817
AT0000908504,Vienna Insurance Group AG,,,,,,,13826.227726189572,17220.67908777751,21711.093533265223,26076.400225706064,24640.971694668508,25101.718238451624,25873.767307199294,26179.36723712265,25424.994809071726,28052.001914840617,21856.258822584823,22111.661,34209.734,30083.0058593487,28512.98828125463,15022.31,14136.0
AT0000937503,VOESTALPINE AG,,,,,,,850561.7779894993,841033.5686823622,934850.5458474522,1932636.778464252,1398998.673938219,1044547.6637135403,1207536.495686419,1404558.609673452,814286.7738715208,773679.3518707344,965186.1323616349,895963.8125000146,902927.529,944366.0000000277,1085096.9999999017,904063.0,809378.0
AT0000938204,Mayr-Melnhof Karton AG,,,,,,,170220.4988512033,187948.62439929091,234688.05885143322,198910.8985443878,182236.72810323694,188000.80820116837,207708.9749956797,187686.80871545948,196914.7522659597,241004.27798608143,200820.691994204,204405.13309000907,231577.77704711523,240282.42841793288,216072.946,273053.37,557894.0
AT0000A21KS2,Immofinanz AG,,,,,,,14768.725456005339,24135.502171225795,34019.049445581055,60527.85858387977,58119.31044662438,57162.70982594092,52849.95356882205,54603.61885077926,54786.890551854965,52750.31868602508,39110.00950376085,27539.43560780591,23369.553631514515,24806.539,23472.566,23768.152,122809.0
AU000000ABC7,ADBRI Limited,,,,,,,114411.27938340708,115635.97999995167,113948.9699999476,99623.46095730309,111194.97999991571,105561.00000005524,102563.99999991867,98332.5859375026,95915.43750004114,93598.24218744933,97950.82812495036,81416.41406247349,113128.75000004773,116048.79687496918,230539.00000006438,207537.314,197118.0
AU000000ALL7,Aristocrat Leisure Limited,,,,,,,3613.1684562603095,3026.153983556124,3306.6637495225527,2423.426483300625,2643.0657485009524,1975.978320889233,2193.230152222838,1774.5367273351187,2343.9197151212406,2671.637876963422,4273.416064417564,5660.986785729657,7420.979450918444,85486.677,84687.616,57975.487,84443.055
AU000000AMP6,AMP Limited,,,,,,,10711.339999990274,13569.340000023649,11294.970000049174,3951.9799999664506,11992.202227339592,11960.200195389587,18664.96093752001,22056.779296831864,20715.08984382507,18261.999999960153,15694.00000002585,11797.8,9605.999999974605,8239.0,8145.987,6407.767,4842.0
AU000000ANN9,Ansell Limited,,,,,,,14605.299160432605,13898.998484190757,16272.416229584069,17866.115798311457,16263.62942176557,15761.84135835707,96746.11753127805,88006.97999999774,94871.67669213677,128674.41205925203,126729.88243007912,123955.2746166054,111511.99999995832,92163.00000000076,93479.314,95528.358,30758.465
AU000000ANZ3,ANZ Group Holdings Limited,,,,,,,8466.218905278038,8594.834873911163,198270.98000011142,168884.84999990923,183433.84684215338,182827.00000001758,206220.0000000207,205462.00000001505,204107.99999996042,194665.99999999854,186844.00000002398,172464.414,161969.0,153042.0,140319.0,122331.0,104984.0
AU000000ASX7,ASX Limited,,,,,,,1769.9689860434269,1780.7046993634929,3529.0949338322835,4288.868299796387,10451.979999992567,7760.911134761396,7242.466983354084,11522.242334369284,10983.108353245902,12343.597532333999,13011.000000024356,14440.0,14262.000000083352,14330.000000022032,15065.000000007114,14763.0,15092.0
AU000000BEN6,Bendigo and Adelaide Bank Limited,,,,,,,394.48895125481374,417.5404502222451,490.2200654621299,510.4459808028486,726.7498563401977,1035.7563317855702,1170.101273716827,29226.999999974632,28815.999999902426,27796.99999998968,25902.441721237974,26084.5520788782,23978.32031253085,22607.1699218976,19779.45,16891.404,14014.45
AU000000BHP4,BHP Group Limited,,,,,,,30160001.699462745,28049999.46533199,29390627.476561032,27370814.554211993,28794598.454470184,11656940.440628566,20999999.999999996,20000000.000000022,24700000.0000001,22281999.999999966,17600000.000838775,6719999.999999963,5800000.000000005,6000000.000000026,5109834.806,5100000.0,5000000.0
AU000000BOQ8,Bank of Queensland Limited,,,,,,,339.2618498850407,342.0371018694799,406.7124115735932,507.1209255335112,548.4005053863492,642.7018575550907,851.4742690248182,873.3932294579765,873.794977540311,1021.3686196029223,989.2575373377938,937.2537055102414,1183.5480894572095,4102.000000058138,4082.000000017273,3578.539,4521.0
AU000000BPT9,Beach Energy Limited,,,,,,,2754.6700761989723,5006.810891389281,20937.47196988515,27351.429399715158,23611.059981942664,21081.137420653664,22945.57683825094,29379.00712436955,13478.092773551474,10822.603515551047,353.99999998178436,577.9999999943158,500.99999992974364,24017.000000004933,21144.628,56194.276,59665.756
AU000000BWP3,BWP Trust,,,,,,,2570.232064312556,2615.0384889242314,2799.6961521091794,3415.129814487089,3400.2255646694875,4353.1844550551,4463.180175711453,5302.910156262076,5219.60986331378,6243.779785229209,6171.229980556346,5080.970214808322,6350.160156253425,6439.359863352902,5682.520019493311,4981.96,5532.04
AU000000CBA7,Commonwealth Bank of Australia,,,,,,,15189.386057706888,13356.039260907715,128984.03000004211,137384.14999984598,142056.82999996064,236622.99999999336,163448.18749992244,121121.183,107041.82031248316,119316.57031259008,114866.99999988604,108035.331,96621.927,87302.552,78772.59,103540.785,95514.0
AU000000CGF5,Challenger Limited,,,,,,,2740.620655087748,4906.812088550354,6164.795249386951,6249.844778125147,6093.949364089655,4839.598630750383,4342.869148658345,4726.528002315797,4571.63228667323,6689.770502650714,918.5000000034182,994.2999878208293,1068.96,840.263,899.4,880.3,690.2
AU000000COH5,Cochlear Limited,,,,,,,4594.693047767136,5522.721009454513,7345.886602800982,8331.570833827642,8562.169821091387,8916.48087390074,11083.18743940352,10957.14403220382,10376.772532070163,11872.479918071385,11553.629837570421,12574.124548417043,15627.264713483322,13537.00000007461,9826.999999952413,9327.072,10034.0
AU000000CPU5,Computershare Limited,,,,,,,7129.683942261598,9917.726279419707,12929.834502114722,11995.593113793191,9133.630971525374,11927.748023919965,11374.794916863899,12715.865208307741,13916.315895228225,16334.789631977223,14900.996133019464,15126.703260863007,17557.703125901564,18785.111047782473,17478.127983346556,19228.4,13806.5
AU000000CQR9,Charter Hall Retail REIT,,,,,,,,5273.055663175425,6371.4465396707865,10098.895594806718,9712.831581352366,13017.000000016562,15178.127625852681,15098.56919685656,13387.989859866182,16833.757287430515,15836.384501424336,14862.673800461262,16946.466441842862,18083.33491894346,13480.410760002143,15063.75,15434.0
AU000000CSL8,CSL Limited,,,,,,,30424.784328018526,28888.676628385383,34592.486872789625,95456.03999989702,109251.97999990219,133858.00000002675,133699.99999993495,136951.00000000332,148035.9999999707,162755.0000000753,174374.00000005504,186488.635,184802.676,201063.99999997928,205839.261,211470.0,175000.0
AU000000CSR5,CSR Limited,,,,,,,284742.6117051316,286795.3408567855,333262.7248474105,527700.9800000202,460993.00000000023,456850.000000072,292326.0000000248,274951.0000000301,259620.99999999139,226569.99999999572,234184.00000002593,267167.012,265651.9999999051,258398.999999984,202860.0,184697.0,183104.0
AU000000DOW2,Downer EDI Limited,,,,,,,41976.05007557571,47496.30093941287,59116.750000006374,189367.9800000276,49619.99999995855,49030.00000011715,52999.999999940206,50073.99999993091,50729.999999951535,46403.00000002808,46402.99999996363,41186.99999996172,38853.05078132683,86581.531,85682.259,114295.754,91749.108
AU000000DXS1,Dexus,,,,,,,20661.943698026098,23875.883470937373,194538.96999990288,181158.9999999755,140686.9999999493,139940.50000005504,128184.88281244008,107122.99999991676,101648.99999993583,118853.70312496957,133624.99999996455,134895.00000002707,129153.99999999054,129871.00000001662,126940.99999999376,117920.0,97219.0
