ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AN8068571086,Schlumberger Limited,,,,,,,291.28806057632744,261.55329222247457,243.22590986337403,223.1258071149325,247.48745960513634,255.76359061379046,254.4939880501921,240.6535739240686,237.04377071219898,236.346115504057,236.8801648565869,248.277,284.12740070429925,265.63687807254234,246.607,285.545,298.385
ARALUA010258,Aluar Aluminio Argentino S.A.I.C.,,,,,,,685.4821539131121,643.9161921454264,600.1762754045601,536.0323602890164,574.7489249763607,563.1760789973436,543.346509482086,527.5089974811842,491.0484013511696,526.70031177065,536.4343002926446,578.2929706592926,609.7625272052095,542.303,504.35,518.493,542.874
ARP125991090,Banco BBVA Argentina S.A.,,,,,,,29.09068494629189,26.968945496620634,25.718128715382935,23.497296028728737,24.515955256790882,23.956682698365665,23.033379506603332,22.293161538769166,21.958764115687643,22.568455707438464,22.243558007985527,23.579295663823583,24.806811811882714,23.87136676026759,22.319501947316436,22.309,23.298
ARSIDE010029,Ternium Argentina S.A.,,,,,,,862.500678510209,771.0861659053429,697.1575963727804,607.8917571704393,671.1182091684286,623.836078834289,668.1086488082269,574.7092642695821,566.0886253055382,560.9737283183166,580.3399619596728,640.4504119085843,671.1107172384061,633.295,574.164,584.323,614.526
AT00000VIE62,Flughafen Wien Aktiengesellschaft,,,,,,,77.81962144496525,71.31762029501395,67.9473654137172,69.9487092161839,78.30450096820535,74.99788853123026,72.13495402613614,69.12380509320482,68.10649772221053,66.96545980877109,66.69562797889388,75.58852812449905,79.5578380997742,75.1729992670045,68.36462086217578,67.97,75.0
AT0000652011,Erste Group Bank AG,,,,,,,29.090684946291894,26.968945496620655,25.71812871538295,24.42197887099008,25.961350859371876,25.11038904712056,23.98504645745374,23.39152467394498,23.057043014274083,23.589516728353757,23.247642684953668,24.135,25.489,24.504,23.348,23.512,24.477
AT0000743059,OMV Aktiengesellschaft,,,,,,,577.0132547100077,457.44219681060537,444.4822895366304,287.6370214503359,376.85121246468924,329.59448454701146,311.69113629461594,327.049722078983,322.706679036031,304.3654387728241,317.7501577254541,455.40260516167797,475.4628286798087,407.39,359.044,386.554,480.041
AT0000746409,VERBUND AG,,,,,,,134.54634953057285,169.57730514801506,172.76931394210322,76.87959342318277,90.34368597507775,129.4891912197333,95.10458353671957,90.36020687721513,80.03815468515452,67.78900537096553,61.73644735268817,68.98417496109826,70.40780023431797,62.03642092099828,57.449,53.143,56.433
AT0000831706,Wienerberger AG,,,,,,,157.84942271237284,142.47405664698746,134.00377379685128,111.39652835745335,122.62353200850026,117.37259181944971,111.53512373012914,94.27951013404848,92.92566055771132,92.65320157829716,162.22259009484497,172.149,178.011,168.783,192.25,201.946,218.953
AT0000908504,Vienna Insurance Group AG,,,,,,,30.99265812867221,28.95716115210332,27.61696491666295,25.597742817261796,26.585449498469846,25.875801425636254,24.917760933270014,24.159334016375347,23.79694400612972,25.01749114895688,24.583763078075627,25.765,27.039,26.26705483338803,24.478390792704257,24.282,25.199
AT0000937503,VOESTALPINE AG,,,,,,,1227.0030098328052,1085.0876014647001,978.2970825946871,808.6255052375874,1007.8519946880723,900.0278512094296,978.2136422829469,826.6713739563227,786.5588301232967,796.8925844348828,819.2486944232669,901.2937187901583,949.018,886.1453839090055,819.443987109603,584.323,614.526
AT0000938204,Mayr-Melnhof Karton AG,,,,,,,381.9254326339249,353.87241320466865,333.3359002735461,307.27542300884784,330.289804542668,313.66315731306804,302.0938684463113,294.63096409594607,289.7961559649978,289.47893072137504,286.44590132396814,311.9391767818075,325.7914269793193,312.8865087138557,294.94,301.756,303.72
AT0000A21KS2,Immofinanz AG,,,,,,,45.94998215954568,43.49694498291611,43.02631631952855,30.079940039086548,33.19776391801547,32.1887278297629,31.072725660195694,30.830388716000254,30.367932885260295,30.459493785666915,29.67792895095273,32.182047109170895,33.67745992679176,32.707,30.416,30.448,31.364
AU000000ABC7,ADBRI Limited,,,,,,,864.7367552638549,814.9972572092486,762.3678624854259,707.7039258235448,786.7108266222755,798.7417049215036,734.457135069883,774.536608295476,737.954333139925,821.9821179812419,954.114741801697,936.4006657927603,952.4256497090461,951.5473521840051,903.9824898171579,896.096,874.193
AU000000ALL7,Aristocrat Leisure Limited,,,,,,,144.83106311629064,135.5106055817163,128.80363955584033,120.415263848922,123.99272253072115,121.22381476541813,116.59021640504571,111.98485887049009,110.30508598743279,115.93796808574591,107.39121307019545,109.53291359397069,112.04899118585497,49.343,45.589,40.335,43.338
AU000000AMP6,AMP Limited,,,,,,,70.93202564852506,66.12465798083464,44.175002090923655,59.98920927102213,60.74562191466085,42.18086417863783,40.861594693406865,38.54443976241392,30.380419448406915,31.573137996542744,30.342396840581046,31.626,31.34961662967775,30.54,27.446,27.249,29.072
AU000000ANN9,Ansell Limited,,,,,,,190.32574168974395,174.21827315273543,162.66677330944609,148.0618618037107,156.59104087993745,148.4184599672628,147.8563163777084,137.36078302939814,135.30037128391072,136.31992146952302,137.02003065521356,148.3718395393054,155.29313415511305,147.09079214657493,136.395,138.799,144.566
AU000000ANZ3,ANZ Group Holdings Limited,,,,,,,29.090684946291905,26.968945496620606,26.62628127256979,26.059799122034214,25.210903225515963,24.386622440604512,24.770647149425997,23.828846945593597,24.740053533658863,27.520511441349377,27.33899742420614,23.579,24.806,23.871,22.319,22.309,23.298
AU000000ASX7,ASX Limited,,,,,,,36.48544759610653,33.972615301621346,32.41204663288033,29.82640807179907,31.01469872721237,30.11718166611594,28.950962877807846,27.933972878849158,27.505770411350166,28.633293139575485,28.24557074551588,29.623,31.53927749872836,30.517021840750083,28.454058444310487,28.347,29.502
AU000000BEN6,Bendigo and Adelaide Bank Limited,,,,,,,29.090684946291905,26.968945496620638,25.71812871538293,23.497296028728726,24.75753635002687,23.956682698365675,23.033379506603342,22.293986016391152,21.959576226195374,22.56940652439474,22.244462821056274,25.522856450181035,26.95899904808206,25.923449830980267,22.319,22.309,23.298
AU000000BHP4,BHP Group Limited,,,,,,,312.0533340938679,290.84209611057173,246.3196791426982,226.37684292657886,264.77650779844527,243.74620930541042,255.36315240855635,236.26685794448315,255.9541708541326,251.43092964536126,213.73443154545308,240.39700839972375,255.64709540413116,238.58974467290744,226.902,239.131,268.747
AU000000BOQ8,Bank of Queensland Limited,,,,,,,29.090684946291898,26.968945496620613,25.71812871538293,23.497296028728705,24.75753635002688,23.956682698365682,23.128544329616755,22.3877764814606,22.043813620614113,22.676036723659198,22.314466221991154,23.630147158082927,24.850099913374937,23.87234782185104,22.320392847654865,22.309,23.298
AU000000BPT9,Beach Energy Limited,,,,,,,137.78269422124336,122.51549982049107,115.69220702795194,99.72415386827856,111.37101180582258,105.32215002193031,102.17483978622411,98.54731112920535,97.10875700064553,98.43440323770524,97.45446859628383,109.64438240779735,115.54474099486309,108.31126634189891,99.062,102.149,110.171
AU000000BWP3,BWP Trust,,,,,,,39.0137437394628,36.162755036625995,34.48583716760093,30.079940039086598,33.19776391801552,32.18872782976298,31.11926658863175,31.32630610926725,30.829851583321773,31.064366154885388,30.45386868863504,32.892181940951666,34.50275384745391,33.4359254470426,31.204349900442327,30.907,31.867
AU000000CBA7,Commonwealth Bank of Australia,,,,,,,31.132223072413808,28.75149358568079,26.44063000768051,25.468874950172413,25.938730594857272,25.71081067448664,24.151315839102516,23.412,22.87764757056662,24.33725492151967,23.809668656556397,24.953,26.257,25.964,22.991,22.417,23.298
AU000000CGF5,Challenger Limited,,,,,,,35.18860717119535,36.968731682790235,35.1206096675671,33.20475093926172,31.026927555396966,26.893838209214298,25.690668855056174,24.81303568610604,24.530148021355124,25.75763085466312,27.342849189533705,28.877303523714176,28.72,27.358,25.954,26.388,27.918
AU000000COH5,Cochlear Limited,,,,,,,190.32574168974426,174.21827315273552,162.66677330944577,148.0618618037106,156.59104087993728,148.41845996726295,147.84427057718528,137.1302480402585,135.0732943196546,136.05368335628032,136.7667946096608,148.11358296783408,155.2786310711908,155.916772391131,145.79582743250174,147.908,154.602
AU000000CPU5,Computershare Limited,,,,,,,37.9349636499798,35.26611429976884,33.65996288771855,31.22955709340414,33.37991821538573,32.47215361718333,31.28201587389672,30.357738043315827,29.85003538062309,30.943326914078337,30.32428721039948,31.855145734276668,33.31131619751212,32.10379238228884,29.81093663102334,31.538,47.22
